index,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
120,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,Yes,No,54990,79690,30,4.5,245,34
121,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,44990,46390,3,4.4,2058,305
122,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,41250,46602,11,4.1,117,11
123,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,44990,52900,14,0,0,0
124,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.7,74,11
125,DELL,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,60790,78307,22,4.4,10,1
126,HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45650,55202,17,4.1,39,4
127,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,49826,15,3.9,29,7
128,DELL,Inspiron,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,45490,60046,24,4.2,43,4
129,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,Yes,44990,58990,23,0,0,0
130,Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4,984,99
131,HP,15s,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,45490,46990,3,4.3,523,66
132,HP,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,38799,47916,19,4.4,30,1
133,HP,Pavilion,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,69267,0,0,0,0,0
134,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,51649,62990,18,0,0,0
135,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47990,51165,6,4.3,1605,215
136,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,40990,49990,18,4.4,4008,519
137,ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,42990,50990,15,4.4,1869,234
138,ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44890,56999,21,3.9,7,0
139,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,41490,49990,17,4.4,4008,519
140,HP,15s,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,Missing,1,No,No,50990,51748,1,0,0,0
141,HP,Missing,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,48900,50000,2,4.3,1278,135
142,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,40990,49990,18,4.4,4008,519
143,DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,41790,54784,23,0,0,0
144,Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,57999,85000,31,3.4,10,2
145,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,45930,58229,21,0,0,0
146,HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,55490,65853,15,4.3,143,15
147,ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,No,32890,46990,30,3.9,28,4
148,Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4,2124,233
149,DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,50693,16,4,276,40
150,DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42190,44780,5,3.9,250,21
151,DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,54517,27,4,1917,189
152,HP,15s,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43690,48933,10,4.1,4999,490
153,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,48990,26,3.8,17,0
154,DELL,3000,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43800,55506,21,4.2,17,0
155,Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38990,55890,30,0,0,0
156,ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,34990,40990,14,3.7,4203,490
157,ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38900,51990,25,3.9,13,0
