,00.상품코드,00.이미지_URL,00.상품_URL,00.상품코드,01.브랜드,02.상품명,03.가격,04.제품 주요 사양,05.모든 성분,06.총 평점,07.리뷰 개수,08_1.별점 1점,08_2.별점 2점,08_3.별점 3점,08_4.별점 4점,08_5.별점 5점,09_1.피부타입_건성,09_2.피부타입_복합성,09_3.피부타입_지성,10_1.피부고민_보습,10_2.피부고민_진정,10_3.피부고민_주름/미백,11_1.피부자극_없음,11_2.피부자극_보통,11_3.피부자극_있음
68,A000000163494,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016349404ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158113&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000158113,랩시리즈,랩시리즈 올-인-원 훼이스 트리트먼트 50ml,39000,모든 피부 타입용,정제수  부틸렌글라이콜  스쿠알란  프로필렌글라이콜디카프릴레이트디카프레이트  글리세릴스테아레이트에스이  메칠메타크릴레이트크로스폴리머  하이드로제네이티드레시틴  옥틸도데실네오펜타노에이트  나일론12  슈크로오스  갈고리가시우무추출물  겔리디엘라 아세로사추출물  희첨추출물  호장근추출물  슈가켈프추출물  포도씨추출물  로즈마리추출물  호프추출물  탄제린껍질추출물  석류즙  에칠비스이미노메칠구아이아콜망가니스클로라이드  아세틸글루코사민  아세틸헥사펩타이드8  리놀레닉애씨드  소듐하이알루로네이트  디메치콘  카페인  리놀레익애씨드  글리세린  효모추출물  폴리아크릴아마이드  C1314이소파라핀  포타슘스테아레이트  라우레스7  노르디하이드로구아이아레틱애씨드  사이클로덱스트린  p아니식애씨드  향료  디소듐이디티에이  페녹시에탄올 ILN39639,5.0,18,0.0,0.0,0.0,0.0,1.0,0.17,0.61,0.22,0.61,0.33,0.06,0.56,0.44,0.0
69,A000000147313,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014731311ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138982&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000138982,더바디샵,더바디샵 티트리 오일 10ML,13500,모든 피부 타입,정제수변성알코올티트리잎오일폴리소르베이트60호동씨오일리모넨t부틸알코올리날룰레몬향티트리오일시트랄시트로넬올디나토늄벤조에이트토코페롤,4.6,187,0.0,0.01,0.1,0.16,0.73,0.11,0.66,0.23,0.05,0.95,0.01,0.21,0.57,0.22
70,A000000155994,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015599404ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153883&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000153883,CKD,씨케이디 레티노콜라겐 저분자 300 퍼스트에센스 150ml,38000,모든 피부 타입,클루이베르마이세스추출물8305 하이드롤라이즈드콜라겐추출물50600ppm 글리세린 12헥산다이올 나이아신아마이드프로판다이올 비피다발효용해물 인도멀구슬나무꽃추출물 인도멀구슬나무잎추출물 울금뿌리추출물 홀리바질잎추출물 마카다미아씨오일 참산호말추출물 소듐하이알루로네이트 레틴알1000ppb하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 정제수다이에톡시에틸석시네이트 부틸렌글라이콜 소듐피씨에이 아데노신폴리쿼터늄51 카프릴릭카프릭트라이글리세라이드 하이드로제네이티드레시틴 소듐하이알루로네이트크로스폴리머 하이드롤라이즈드글라이코사미노글리칸 글라이신 콜레스테롤 세린 글루타믹애씨드유채스테롤 다이프로필렌글라이콜 피이지5레이프씨드스테롤실리카 벤질글라이콜 아스파틱애씨드 세테스3 세테스5 류신알루미늄마그네슘하이드록사이드스테아레이트 토코페롤 토코페릴아세테이트 알라닌 라이신 알지닌 타이로신 페닐알라닌 포타슘세틸포스페이트 프롤린 트레오닌 발린 아이소류신 펜타에리스리틸테트라다이t부틸하이드록시하이드로신나메이트 히스티딘 시스테인 메티오닌 펜틸렌글라이콜 에틸헥실글리세린 카프릴릴카프릴글루코사이드 멘틸피씨에이 에틸멘탄카복사마이드 세라마이드엔피하이드롤라이즈드엘라스틴 잔탄검 다이소듐이디티에이,4.9,654,0.0,0.0,0.01,0.07,0.91,0.47,0.47,0.07,0.69,0.11,0.2,0.89,0.11,0.0
71,A000000138575,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013857501ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113292&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000113292,피지오겔,피지오겔 DMT 로션 (본품200ml+토너15ml+화장솜5매 증정),38000,모든 피부용,피지오겔 로션  정제수 카프릴릭카프릭트리글리세라이드 글리세린 펜틸렌글라이콜 코코넛오일 기름야자오일 쉐어버터 올리브오일 하이드로제네이티드레시틴 하이드록시에칠셀룰로오스 카프릴릴글라이콜 잔탄검 스쿠알란 카보머 소듐카보머 세라마이드3피지오겔 토너  정제수 다이프로필렌글라이콜 글리세린 12헥산다이올 헥실데실에틸헥사노에이트 펜타에리스리틸테트라에틸헥사노에이트 변성알코올 베타인 사이클로펜타실록세인 아크릴레이트C1030알킬아크릴레이트크로스폴리머 트로메타민 다이메티콘 피토스테롤 소듐하이알루로네이트 트라이소듐이디티에이세린 소듐피씨에이 하이드록시에틸우레아 알지닌 카프릴릭카프릭트라이글리세라이드 스쿠알란,4.8,8182,0.0,0.0,0.03,0.15,0.82,0.43,0.52,0.05,0.78,0.22,0.01,0.8,0.2,0.01
72,A000000156148,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015614807ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000103651&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000103651,케어존 옴므,케어존 옴므 닥터솔루션 센서티브 토너 170ml,23000,본품 170ml,정제수 변성알코올 디프로필렌글라이콜 12헥산디올 메칠글루세스20 락토바실러스콩발효추출물 글리세린 판테놀 글라이코실트레할로스 효모감자추출물발효여과물 효모보리씨발효여과물 하이드로제네이티드스타치하이드롤리세이트 옥틸도데세스16 피이지60하이드로제네이티드캐스터오일 아크릴레이트C1030알킬아크릴레이트크로스폴리머 트로메타민 트리소듐이디티에이 잔탄검 슈도알테로모나스발효추출물 해수 부틸렌글라이콜 히솝추출물 꼬리풀추출물 디팔미토일하이드록시프롤린 레몬밤잎추출물 레시틴 리놀레익애씨드 만니톨 말로우추출물 베타시토스테롤 서양톱풀추출물 성모초추출물 소듐아스코베이트 쓴박하추출물 엘더꽃추출물 카우슬립추출물 토코페롤 라임오일 로즈마리잎오일 베르가모트열매오일 티트리잎오일 유칼립투스잎오일 페우세디눔 오스트루튬잎추출물 페퍼민트잎추출물 하이드로제네이티드레시틴 시트랄 리모넨 리날룰,4.6,49,0.0,0.0,0.1,0.16,0.73,0.4,0.45,0.15,0.51,0.49,0.0,0.63,0.37,0.0
73,A000000165732,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016573201ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130841&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000130841,비플레인,비플레인 캐모마일 약산성 토너 190ml,21000,모든 피부 타입,캐모마일꽃추출물8065 프로판다이올 메틸프로판다이올 글리세린 쇠비름추출물 트레할로오스 병풀추출물 무화과추출물 감초뿌리추출물 황벽나무껍질추출물 하이드로제네이티드레시틴 베타인 부틸렌글라이콜 알란토인 셀룰로오스검 다이소듐이디티에이 세라마이드엔피 12헥산다이올 에틸헥실글리세린,4.7,499,0.0,0.01,0.04,0.22,0.73,0.36,0.52,0.12,0.47,0.53,0.01,0.82,0.18,0.01
74,A000000151966,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015196605ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159291&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000159291,마몽드,마몽드 레티놀 앰플 토너 250ml,25000,모든피부,정제수 부틸렌글라이콜 글리세린 베타인 하이드롤라이즈드콜라겐 12헥산다이올 글리세릴폴리메타크릴레이트 다이메티콘 피피지13데실테트라데세스24 에탄올 아크릴레이트C1030알킬아크릴레이트크로스폴리머 하이드로제네이티드레시틴 트로메타민 에틸헥실글리세린 아데노신돌콩오일 다이소듐이디티에이 덱스트린 향료 잇꽃꽃추출물 소듐하이알루로네이트 해바라기씨오일 소듐메틸스테아로일타우레이트 레티놀100IU 카카오추출물 에칠아스코빌에텔 비에이치티 로얄젤리추출물 토코페롤 사프란암술머리추출물,4.8,62,0.0,0.0,0.03,0.18,0.79,0.6,0.4,0.0,0.69,0.13,0.18,0.77,0.21,0.02
75,A000000139057,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013905707ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156235&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000156235,라운드어라운드,라운드어라운드 그린티 약산성 고보습 로션 220ml,25000,모든 피부용,녹차수797 글리세린 카프릴릭카프릭트라이글리세라이드 12헥산다이올 폴리글리세릴3메틸글루코오스다이스테아레이트 메틸트라이메티콘 세테아릴알코올 글리세릴스테아레이트 팔미틱애씨드 스테아릭애씨드 암모늄아크릴로일다이메틸타우레이트브이피코폴리머 카보머 소듐스테아로일글루타메이트 폴리메틸실세스퀴옥세인 트로메타민 에틸헥실글리세린 잔탄검 다이소듐이디티에이 드럼스틱씨오일 세라마이드엔피 피토스핑고신 하이드로제네이티드레시틴,4.8,293,0.01,0.0,0.04,0.12,0.83,0.32,0.56,0.12,0.81,0.19,0.0,0.83,0.15,0.02
76,A000000160961,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016096101ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157846&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000157846,라포티셀,[더보이즈 Pick] 라포티셀 A.C. 데일리 카밍 필링 부스터 200ml,23000,모든 피부용,정제수 글리세린 에탄올 프로판다이올 피이지40하이드로제네이티드캐스터오일 펜틸렌글라이콜 소듐시트레이트 파스향나무잎추출물 부틸렌글라이콜 에틸헥실글리세린 쇠비름추출물 오렌지오일 레몬껍질오일 베르가모트오일 다이소듐이디티에이 알란토인 멕시칸치아씨추출물 12헥산다이올 병풀추출물 약모밀추출물 라벤더오일 밤부사 불가리스추출물 알로에베라잎추출물 센티드제라늄꽃오일 바질오일 티트리잎추출물 글라이콜릭애씨드 프로필렌글라이콜 파파야열매수 버지니아풍년화잎수 마트리카리아꽃추출물 페녹시에탄올 리모넨 리날룰,4.9,275,0.0,0.0,0.01,0.06,0.93,0.19,0.53,0.28,0.23,0.69,0.08,0.63,0.29,0.08
77,A000000148252,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014825204ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154625&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000154625,아이소이,[코어탄력크림] 아이소이 불가리안 로즈 인텐시브 에너자이징 크림EX 30ml,43000,모든피부용민감피부 사용 가능,정제수 글리세린 마카다미아씨오일 스쿠알란 카프릴릭카프릭트라이글리세라이드 펜타에리스리틸테트라아이소스테아레이트 세틸에틸헥사노에이트 트레할로오스 베타인 글리세릴스테아레이트 세테아릴알코올 알부틴 스테아릭애씨드 아라키딜알코올 메도우폼씨오일 솔비탄스테아레이트 다마스크장미꽃오일 시어버터 호호바씨오일 올리브오일 베헤닐알코올 아라키딜글루코사이드 다마스크장미꽃수 세라마이드엔피 아데노신 잔탄검 알란토인 팔미토일트라이펩타이드5 참마뿌리추출물 밤껍질추출물 아세로라추출물 몰로키아잎추출물 브로콜리추출물 로즈마리추출물 니아울리나무잎오일 마트리카리아꽃잎추출물 병풀추출물 락토바실러스콩발효추출물 흰목이버섯추출물 황련뿌리추출물 부틸렌글라이콜 12헥산다이올 스페인감초뿌리추출물 황금추출물 모란뿌리추출물 시트로넬올 제라니올 파네솔 유제놀 리날룰,4.6,866,0.01,0.01,0.06,0.24,0.68,0.69,0.29,0.03,0.62,0.11,0.27,0.68,0.32,0.01
78,A000000129008,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0012/A00000012900810ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160562&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000160562,크리니크,[MD Pick] 크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2/3 200ml,34000,모든 피부 타입,클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2번  정제수변성알코올글리세린위치하젤수아세틸글루코사민멘톨소듐하이알루로네이트트레할로스부틸렌글라이콜디소듐포스페이트페녹시에탄올자색401호적색201호적색227호클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 3번  정제수 변성알코올 글리세린 부틸렌글라이콜 위치하젤 살리실릭애씨드 아세틸글루코사민 소듐하이알루로네이트 트로메타민 비에이치티 트레할로스 글라이신 디소듐이디티에이 페녹시에탄올 벤조페논4 적색201호 등색205호 자색401호,4.6,585,0.01,0.02,0.06,0.16,0.75,0.13,0.51,0.36,0.2,0.74,0.07,0.11,0.64,0.25
79,A000000159657,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015965708ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151951&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000151951,더랩바이블랑두,[증량] 더랩바이블랑두 올리고 히알루론산 5000토너(본품500ml+100ml 추가 증정),34000,모든 피부 타입,정제수 부틸렌글라이콜 12헥산다이올 글리세린 소듐하이알루로네이트2500 ppm 하이알루로닉애씨드100 ppm 동백나무잎추출물 베타글루칸 다이소듐이디티에이 알란토인 접시꽃추출물 토코페롤 판테놀 에틸헥실글리세린,4.8,1921,0.0,0.0,0.02,0.11,0.86,0.27,0.6,0.13,0.59,0.41,0.0,0.82,0.18,0.01
80,A000000160723,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016072303ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000005767&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000005767,유세린,유세린 더모퓨리파이어 오일컨트롤 수딩크림 50ml,32000,민감성 지성 피부용,정제수 글리세린 판테놀 아이소프로필팔미테이트 스쿠알란 타피오카전분 글리세릴스테아레이트시트레이트 베헤닐알코올 세틸알코올 하이드로제네이티드코코글리세라이즈 다이메티콘 페녹시에탄올 카보머 펜틸렌글라이콜 트라이소듐이디티에이 4t부틸사이클로헥산올 세라마이드엔피 창과감초뿌리추출물 소듐하이드록사이드,4.7,168,0.01,0.01,0.06,0.16,0.76,0.1,0.5,0.41,0.53,0.47,0.0,0.8,0.2,0.01
81,A000000166512,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016651201ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000135974&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000135974,셀리맥스,셀리맥스 더 리얼 노니 수분 밸런싱 토너 150ml,25000,모든 피부 타입,노니열매추출물801 부틸렌글라이콜 정제수 12헥산다이올 하이드록시에틸우레아 글라이신 세린 글루타믹애씨드 아스파틱애씨드 류신 알라닌 라이신 알지닌 타이로신 페닐알라닌 프롤린 트레오닌 발린 아이소류신 히스티딘 시스테인 메티오닌 노니씨오일01ppm 로즈마리잎오일 인도멀구슬나무잎추출물 인도멀구슬나무꽃추출물 카카오추출물 베타인 알란토인 덱스트린 카프릴릭카프릭트라이글리세라이드 C1213파레스9 다이소듐이디티에이 클로페네신,4.7,650,0.01,0.01,0.06,0.16,0.77,0.27,0.6,0.13,0.35,0.63,0.02,0.7,0.28,0.02
82,A000000139347,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013934701ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162038&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000162038,비알티씨,BRTC 트레이너 옴므 올인원 밀크 200ml,30000,모든 피부 타입,정제수 글리세린 나이아신아마이드 메틸프로판다이올 다이프로필렌글라이콜 카프릴릭카프릭트라이글리세라이드 사이클로펜타실록세인 솔비탄스테아레이트 트레할로오스 사이클로메티콘 사이클로헥사실록세인 실리카 글리세릴카프릴레이트 소듐폴리아크릴레이트 다이메티콘 에틸헥실스테아레이트 다이메티콘비닐다이메티콘크로스폴리머 알지닌 암모늄아크릴로일다이메틸타우레이트브이피코폴리머 수크로오스코코에이트 폴리실리콘11 카보머 아크릴레이트C1030알킬아크릴레이트크로스폴리머 아데노신 하이드록시에틸셀룰로오스 트라이데세스6 부틸렌글라이콜 아위버섯균사체인삼열매추출발효여과물 영지버섯추출물 프로판다이올 포도추출물 클레리추출물 라벤더수 히아신스전초추출물 감나무잎추출물 마트리카리아꽃잎추출물 보리지추출물 12헥산다이올 수레국화꽃추출물 호장근뿌리추출물 커피콩추출물 잇꽃꽃추출물 산초나무잎추출물 밤껍질추출물 녹차추출물 카프릴릴글라이콜 에틸헥실글리세린 마그네슘피씨에이 소듐락테이트 카퍼트라이펩타이드1 세린 수크로오스 우레아 글라이신 칼슘클로라이드 포타슘하이드록사이드 오르니틴 씨솔트 알라닌 마그네슘클로라이드 트레오닌 히스티딘 아스파틱애씨드 발린 프롤린 팔미토일펜타펩타이드4 니코티노일트라이펩타이드1 니코티노일에스에이치펜타펩타이드19 갈로일펜타펩타이드33 갈로일노나펩타이드11 다이갈로일테트라펩타이드19 카페오일트라이펩타이드1 카페오일에스에이치옥타펩타이드4 아세틸헥사펩타이드8 다이포타슘포스페이트 라이신 류신 타이로신 아이소류신 마그네슘시트레이트 글루코사민에이치씨엘 페닐알라닌 글루타믹애씨드 1메틸하이단토인2이미드 아스파라진 시트룰린 우릭애씨드 메티오닌 타우린 트립토판 글루타민 시스테인 다이소듐이디티에이 클로페네신 벤질알코올 향료,5.0,1942,0.0,0.0,0.0,0.02,0.98,0.22,0.62,0.16,0.65,0.17,0.18,0.9,0.1,0.01
83,A000000116658,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011665809ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113195&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000113195,바이오더마,바이오더마 세비엄 로션 200ml,30000,중복합 피부 및 모든 피부,정제수 피이지11메틸에터다이메티콘 부틸렌글라이콜 글리세린 말굽잔나비버섯추출물 카프릴로일글라이신 폴리솔베이트20 소듐시트레이트 징크글루코네이트 살리실릭애씨드 소듐하이드록사이드 만니톨 소듐메타바이설파이트 자일리톨 람노오스 피리독신에이치씨엘 페녹시에탄올 프로필갈레이트 피이지40하이드로제네이티드캐스터오일 프룩토올리고사카라이드 향료,4.7,744,0.0,0.01,0.06,0.17,0.76,0.07,0.47,0.46,0.3,0.68,0.02,0.66,0.31,0.04
84,A000000149175,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014917503ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165309&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000165309,센텔리안24,*선물추천*센텔리안24 마데카 스페셜 기프트 세트(크림 50ml+15ml+앰플 7ml*2ea),57000,모든피부,크림 락토바실러스병풀추출발효여과물다이프로필렌글라이콜하이드로제네이티드폴리데센카프릴릭카프릭트라이글리세라이드사이클로헥사실록세인글리세린글리세릴스테아레이트펜타에리스리틸테트라에틸헥사노에이트나이아신아마이드폴리글리세릴6다이스테아레이트세틸알코올다이카프릴릴에터병풀잎추출물올리브오일병풀오일하이드롤라이즈드병풀단백질아스코빌아시아테이트세라마이드엔피병풀아미노산콜라겐아미노산하이드롤라이즈드엘라스틴마카다미아씨오일하이드로제네이티드레시틴소듐하이알루로네이트폴리글리세릴10라우레이트비즈왁스소듐스테아로일글루타메이트판테놀하이드록시에틸아크릴레이트소듐아크릴로일다이메틸타우레이트코폴리머마데카식애씨드아시아티코사이드호호바에스터부틸렌글라이콜다이메티콘비닐다이메티콘크로스폴리머아시아틱애씨드폴리글리세릴3비즈왁스알란토인칸디다가르시니아발효물잔탄검아데노신솔비탄아이소스테아레이트소듐라우레이트라우릭애씨드트로메타민시트릭애씨드글라이신글루타믹애씨드알지닌12헥산다이올피토스핑고신에틸헥실글리세린정제수스테아릴알코올다이소듐이디티에이센티드제라늄꽃오일오렌지껍질오일유칼립투스잎오일라벤더오일리모넨시트로넬올리날룰제라니올앰플 병풀추출물다이프로필렌글라이콜식물성스쿠알란나이아신아마이드메틸프로판다이올정제수세테아레스20참마뿌리추출물폴리실리콘1112헥산다이올트라넥사믹애씨드폴리글리세릴10라우레이트셀필룸추출물마데카식애씨드아시아티코사이드마데카소사이드멜라토닌카바카바잎뿌리줄기추출물인삼열매추출물녹차수센티드제라늄꽃오일하이드로제네이티드레시틴아르간커넬오일글리세린알파비사보롤글리세릴스테아레이트에스이다이페닐다이메티콘소듐스테아로일글루타메이트트라이에틸헥사노인아크릴레이트C1030알킬아크릴레이트크로스폴리머아시아틱애씨드트로메타민폴리글리세릴10미리스테이트폴리쿼터늄51토코페릴아세테이트글라이코실트레할로오스다이메티콘스쿠알란하이드로제네이티드폴리아이소부텐하이드로제네이티드스타치하이드롤리세이트아데노신라피노오스바이오사카라이드검1아이소노닐아이소노나노에이트폴리글리세릴10스테아레이트다이소듐이디티에이라우레스12레시틴세테아릴알코올스테아릭애씨드시어버터폴리글리세릴2다이폴리하이드록시스테아레이트에칠아스코빌에텔베타글루칸이눌린라우릴카바메이트다이소듐스테아로일글루타메이트하이드록시아세토페논펜틸렌글라이콜시트로넬올제라니올리날룰,4.8,981,0.0,0.01,0.04,0.14,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,A000000112264,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011226401ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163510&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000163510,비욘드,비욘드 엔젤 아쿠아 수분 진정 토너 500ml,19000,모든피부용,정제수 다이프로필렌글라이콜 부틸렌글라이콜 12헥산다이올 프로판다이올 폴리글리세릴4카프레이트 글리세린 판테놀 알란토인 트레할로오스 소듐하이알루로네이트 마데카소사이드 베타글루칸 하이드롤라이즈드하이알루로닉애씨드 레몬껍질오일 베르가모트오일 오렌지껍질오일 멕시칸주니퍼오일 라임전초오일 포도덩굴수액 전호추출물 병풀추출물 가시대나무수액 자작나무수액 하늘타리뿌리추출물 녹차추출물 호장근뿌리추출물 황금추출물 개똥쑥추출물 님잎추출물 스페인감초뿌리추출물 마트리카리아꽃추출물 로즈마리잎추출물 소듐폴리아크릴레이트 소듐시트레이트 시트릭애씨드 트라이소듐이디티에이 리모넨 리날룰 시트랄,4.7,44,0.0,0.02,0.07,0.14,0.77,0.18,0.73,0.09,0.39,0.61,0.0,0.52,0.45,0.03
86,A000000164514,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016451405ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129443&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000129443,이즈앤트리,[NEW] 이즈앤트리 히아루론산 토너 200ml,16000,모든피부타입,정제수프로판다이올12헥산다이올소듐하이알루로네이트트레할로오스소듐피씨에이글리세린하이알루로닉애씨드알로에베라잎추출물접시꽃뿌리추출물만주자작나무수액쇠비름추출물하이드롤라이즈드소듐하이알루로네이트베타글루칸판테놀펜틸렌글라이콜카프릴릴글라이콜부틸렌글라이콜,4.7,491,0.0,0.01,0.06,0.18,0.75,0.41,0.48,0.11,0.73,0.27,0.01,0.83,0.17,0.01
87,A000000145503,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014550311ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006564&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000006564,우르오스,우르오스 스킨로션 200ml,29700,지복합성 피부를 위한 워터타입 스킨케어  2 in 1,정제수 에탄올 펜틸렌글라이콜 베타인 글리세린 피이지6 피이지32 아데노신포스페이트 페녹시에탄올 소듐하이드록사이드 피피지6데실테트라데세스30 소듐디라우라미도글루타마이드라이신 알진 시트릭애씨드 켈프추출물 부틸렌글라이콜 소듐하이알루로네이트 터펜틴 아틀라스시다껍질오일 라임오일 라반딘오일 구주소나무잎오일 팔각회향열매씨오일 페퍼민트오일 로즈마리잎오일 서양측백나무잎오일 리날룰 리모넨,4.7,933,0.01,0.01,0.05,0.16,0.78,0.15,0.59,0.26,0.57,0.41,0.02,0.55,0.45,0.02
88,A000000153547,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015354702ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163417&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,A000000163417,달바,[NEW] 달바 화이트 트러플 퍼스트 아로마틱 토너 155ml,29000,모든 피부용,정제수 다이프로필렌글라이콜 네오펜틸글라이콜다이헵타노에이트 글리세레스26 12헥산다이올 흰서양송로추출물1000ppm 토코페롤 하이드록시에틸우레아 소듐클로라이드 베타인 아보카도오일 다마스크장미꽃수 부틸렌글라이콜 솔비톨 해바라기씨오일 다이소듐이디티에이 병풀추출물 녹차추출물 약모밀추출물 쇠비름추출물 아데노신 올리브오일 마카다미아씨오일 동백나무씨오일 달맞이꽃오일 글루코노락톤 글리세린 돌콩오일 비타민나무열매오일 보검선인장줄기추출물 밤껍질추출물 감나무잎추출물 아나토씨오일 프로테아제 파파인 브로멜라인 리파아제 향료 리날룰 헥실신남알 리모넨,4.9,30,0.0,0.0,0.0,0.13,0.87,0.5,0.47,0.03,0.97,0.0,0.03,0.83,0.17,0.0
