,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country,weighted_vote
54,좀비즈 어웨이,292100766,배예람,안전가옥,"9,000",19.0,5.0, 2022년 3월,한국,4.860995
55,지구에서 한아뿐,198048203,정세랑,난다,"11,700",190.0,4.0, 2019년 7월,한국,3.990680104712042
56,다섯 번째 감각,287367114,김보영,아작,"16,200",14.0,4.5, 2022년 2월,한국,4.347993333333333
57,살인자의 기억법,249404000,김영하,복복서가,"9,000",14.0,4.5, 2020년 8월,한국,4.347993333333333
58,전지적 독자 시점 Part 1 02,287281385,싱숑,비채,"12,150",4.0,5.0, 2022년 1월,한국,4.44398
59,전지적 독자 시점 Part 1 06,287281548,싱숑,비채,"12,150",3.0,4.5, 2022년 1월,한국,3.9299749999999998
60,기이현상청 사건일지,293715746,이산화,안전가옥,"11,700",1.0,4.0, 2022년 4월,한국,3.10995
61,욕조가 놓인 방,292582619,이승우,작가정신,"11,700",21.0,4.5, 2022년 4월,한국,4.396359090909091
62,세계를 건너 너에게 갈게,256118133,이꽃님,문학동네,"11,700",5.0,5.0, 2020년 11월,한국,4.53665
63,가짜 모범생,280895914,손현주,특별한서재,"10,800",48.0,5.0, 2021년 10월,한국,4.943263265306123
64,전지적 독자 시점 Part 1 07,287281670,싱숑,비채,"12,150",6.0,5.0, 2022년 1월,한국,4.602842857142857
65,전지적 독자 시점 Part 1 03,287281409,싱숑,비채,"12,150",3.0,4.5, 2022년 1월,한국,3.9299749999999998
66,전지적 독자 시점 Part 1 04,287281486,싱숑,비채,"12,150",3.0,4.5, 2022년 1월,한국,3.9299749999999998
67,빵 좋아하는 악당들의 행성,291686860,곽재식,비채,"13,320",20.0,4.5, 2022년 3월,한국,4.391423809523809
68,행성어 서점,282199385,김초엽,마음산책,"13,050",43.0,4.5, 2021년 11월,한국,4.448179545454545
69,"재인, 재욱, 재훈",278027056,정세랑,은행나무,"7,200",178.0,5.0, 2021년 9월,한국,4.984468715083799
70,아가미,139258912,구병모,위즈덤하우스,"11,700",96.0,4.0, 2018년 3월,한국,3.9816484536082477
71,2022년 제45회 이상문학상 작품집,287161284,손보미,문학사상,"13,950",16.0,4.5, 2022년 1월,한국,4.365876470588235
72,백의 그림자,287791901,황정은,창비,"13,500",20.0,4.5, 2022년 2월,한국,4.391423809523809
73,홍학의 자리,275879438,정해연,엘릭시르,"12,600",70.0,4.0, 2021년 7월,한국,3.9749281690140847
74,전지적 독자 시점 Part 1 05,287281514,싱숑,비채,"12,150",4.0,5.0, 2022년 1월,한국,4.44398
75,전지적 독자 시점 Part 1 08,287281759,싱숑,비채,"12,150",12.0,5.0, 2022년 1월,한국,4.786146153846154
76,그 많던 싱아는 누가 다 먹었을까,260678235,박완서,웅진지식하우스,"11,700",31.0,5.0, 2021년 1월,한국,4.913121875
77,아무도 아닌,256131144,황정은,문학동네,"10,800",113.0,4.5, 2016년 11월,한국,4.479999122807017
78,나나,280535894,이희영,창비,"11,700",146.0,5.0, 2021년 10월,한국,4.981087755102041
79,해설과 함께 읽는 치숙 / 붉은 산 외,169371642,전도현,서연비람,"10,800",0.0,0.0, 2018년 10월,한국,2.2199
80,1차원이 되고 싶어,280318207,박상영,문학동네,"13,320",59.0,4.5, 2021년 10월,한국,4.461998333333333
81,목소리를 드릴게요,222461169,정세랑,아작,"13,320",144.0,4.5, 2020년 1월,한국,4.484275172413793
82,오로라 상회의 집사들,293785158,이경란,은행나무,"12,600",4.0,5.0, 2022년 4월,한국,4.44398
83,시체가 너무 많다,294377595,박하루,엘릭시르,"13,320",0.0,0.0, 2022년 5월,한국,2.2199
84,소마,294426595,채사장,웨일북,"13,500",1.0,4.0, 2021년 12월,한국,3.10995
85,여름의 빌라,244899880,백수린,문학동네,"12,150",60.0,4.5, 2020년 7월,한국,4.46262131147541
86,파과,142244075,구병모,위즈덤하우스,"12,600",86.0,4.5, 2018년 4월,한국,4.473791954022988
87,해가 지는 곳으로,112811885,최진영,민음사,"11,700",80.0,4.0, 2017년 6월,한국,3.9780234567901234
