,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country
9853,동백꽃.봄봄,39947812,김유정,책만드는집,"10,800",null,null, 2014년 4월,한국
9854,멸화,38878491,이경민,노블마인,"11,700",6,4, 2014년 3월,한국
9855,천하를 경영한 기황후 3,32883262,제성욱,일송북,"11,520",1,4, 2013년 11월,한국
9856,천하를 경영한 기황후 4,32883294,제성욱,일송북,"11,520",1,4, 2013년 11월,한국
9857,김동리 문학전집 15 : 검군,29155616,김동리기념사업회,계간문예,"12,000",null,null, 2013년 7월,한국
9858,박승직 상점 - 상,27889021,박상하,매일경제신문사,"11,700",14,4, 2013년 7월,한국
9860,바이링궐 에디션 한국 대표 소설 세트 2 : 16~30권 - 전15권,27787590,김인숙,도서출판 아시아,"71,100",null,null, 2013년 6월,한국
9861,개국,26348739,조현경,학고재,"11,700",null,null, 2013년 5월,한국
9862,대제국 신의 나라 5,21550604,신영진,연인(연인M&B),"11,700",null,null, 2013년 1월,한국
9863,낙타의 노래,22299394,이망우,좋은땅,"12,600",null,null, 2012년 12월,한국
9864,국경,21440964,이정,책만드는집,"11,700",9,4.5, 2012년 12월,한국
9865,쥐식인 블루스,21108657,김다은,작가,"10,800",null,null, 2012년 11월,한국
9866,김경한 삼국지 세트 - 전12권,20394534,김경한,동랑커뮤니케이션즈,"162,000",4,5, 2012년 10월,한국
9867,불굴혼 박정희 4,18106686,고정일,동서문화동판(동서문화사),"13,500",null,null, 2012년 8월,한국
9868,네 가지 비밀과 한 가지 거짓말,18172048,방현희,자음과모음(이룸),"11,700",9,3.5, 2012년 7월,한국
9869,돌의 말,15133763,오수연,문학동네,"9,900",null,null, 2012년 2월,한국
9871,겨울소나타,11822222,우선덕,문예출판사,"9,900",null,null, 2011년 5월,한국
9872,여성 단편소설 1,11375074,이병순,역락,"38,000",null,null, 2011년 3월,한국
9873,눈물의 아이,7748411,김민기,은행나무,"9,900",16,4, 2010년 9월,한국
9874,[세트] 덕혜옹주 + 난설헌 - 전2권,29476785,권비영,다산책방,"22,320",null,null, 2009년 12월,한국
9875,유라의 결혼식,5885090,이숙경,문이당,"9,000",null,null, 2009년 12월,한국
9876,유쾌한 결혼식,5915319,김외숙,나눔사,"9,000",1,4, 2009년 11월,한국
