,분식,일식&돈까스,족발&보쌈,중국집,치킨,피자&양식,한식
을찌로국물떡볶이-망원점,1,0,0,0,0,0,0
볶찜-북가좌DMC점,1,0,0,0,0,0,1
돈떡-서교점,1,1,0,0,0,0,1
쏘크라테스떡볶이-마포쏘크라테스점,1,0,0,0,0,0,0
배떡-북가좌점,1,0,0,0,0,0,0
레전드고기한상-마포점,1,0,0,0,0,0,0
무꼬뭐꼬-신촌점,1,0,0,0,0,0,0
떡대떡볶이,1,0,0,0,0,0,0
호텔식당,1,1,0,0,0,0,0
떡군이네떡볶이-홍대신촌점,1,0,0,0,0,0,1
인정국물떡볶이-북가좌점,1,0,0,0,0,0,0
스쿨푸드-딜리버리연희점,1,1,0,0,0,0,0
소이연남-본점,1,0,0,0,0,1,0
런뽀끼-당산점,1,0,0,0,0,0,0
떡볶이도맛있는치킨플러스-신수점,1,0,0,0,0,0,0
신촌떡볶킹,1,0,0,0,0,0,1
마신떡볶이-신촌점,1,0,0,0,0,0,1
치킨을사랑한떡볶이-이대점,1,0,0,0,1,0,0
쿠벤일식도시락,1,1,0,0,0,1,0
빅마마찬&떡볶이-공덕점,1,0,0,0,0,0,1
비비빔,0,1,0,0,0,0,0
"연어,육회먹기좋은날",0,1,0,0,0,0,0
섬이자카야,0,1,0,0,0,0,0
현이네회시장,0,1,0,0,0,0,0
라멘쿠르메,0,1,0,0,0,0,0
카쿠시타,0,1,0,0,0,0,0
착한밥도둑간장게장,0,1,0,0,0,0,1
하루엔소쿠-마포중앙도서관점,0,1,0,0,0,0,0
매일스시고등어활어회,0,1,0,0,0,0,0
마포구회맛집,0,1,0,0,0,0,1
만리수산-연희점,0,1,0,0,0,0,1
우리바다수산-성산점,0,1,0,0,0,0,0
오물오물-연남점,0,1,0,0,0,1,0
The청춘키친-은평점,0,1,0,0,0,0,0
스시앤-마포점,0,1,0,0,0,0,0
바다나라1박2일포차,0,1,0,0,0,0,0
산오징어양푼무침,0,1,0,0,0,0,0
청춘수제돈까스-성산점,0,1,0,0,0,0,0
버켓크랩,0,1,0,0,0,0,0
싱싱참치,0,1,0,0,0,0,0
탐나종합어시장-망원역점,0,1,0,0,0,0,0
야미가-홍대점,0,1,0,0,0,0,1
이쿠라멘&돈카츠-홍대점,0,1,0,0,0,0,0
만원이하이불덮밥&규동,0,1,0,0,0,0,1
밥도둑들,0,1,0,0,0,0,0
아름다운밤연어육회-마포점,0,1,0,0,0,0,0
불타는돈까스-망원점,0,1,0,0,0,0,0
서노스시,0,1,0,0,0,0,1
김판석초밥,0,1,0,0,0,0,0
이자카야&스시공감,0,1,0,0,0,0,0
최고당돈가스-망원점,0,1,0,0,0,0,0
토끼정,0,1,0,0,0,0,1
이불덮밥-상암DMC점,0,1,0,0,0,0,0
밥은먹었어,0,1,0,0,0,0,1
망원돈까스,0,1,0,0,0,0,0
혜화동돈까스극장-서울성산점,0,1,0,0,0,0,0
벚꽃스시-본점,0,1,0,0,0,0,0
참치의명가&야식포차,0,1,0,0,0,0,0
제주회집,0,1,0,0,0,0,0
승진참치,0,1,0,0,0,0,0
회뜨는총각-연남점,0,1,0,0,0,0,0
스시노하나,0,1,0,0,0,0,0
강릉어시장회,0,1,0,0,0,0,0
홍대수카츠,0,1,0,0,0,0,0
미요초밥전문점,0,1,0,0,0,0,0
해신포차,0,1,0,0,0,0,0
돈까스와카츠돈,0,1,0,0,0,0,0
연희동와쇼쿠,0,1,0,0,0,0,0
홍대타코야,0,1,0,0,0,0,0
정성이가득찬집밥-이대점,0,1,0,0,0,0,1
이찌방라멘&카츠카레,0,1,0,0,0,0,0
메밀이랑막국수&국밥사랑,0,1,0,0,0,0,0
용머리횟집,0,1,0,0,0,0,0
밀포유-신촌점,0,1,0,0,0,0,0
지중해참치-공덕점,0,1,0,0,0,0,0
육회란연어다-홍대서교점,0,1,0,0,0,0,0
신촌카츠미,0,1,0,0,0,0,0
키움초밥,0,1,0,0,0,0,0
육회바른연어-홍대점,0,1,0,0,0,0,0
솔로테이블-상암점,0,1,0,0,0,0,0
산이네찜탕,0,1,0,0,0,0,0
수상한키친,0,1,0,0,0,0,0
바다애회-홍대본점,0,1,0,0,0,0,0
노량진수산시장벌교아줌마,0,1,0,0,0,0,0
스시준,0,1,0,0,0,0,0
올바른스시-홍대직영점,0,1,0,0,0,0,0
하카타호르몬,0,1,0,0,0,1,0
미스터빠삭-서강대점,0,1,0,0,0,0,0
보스참치-홍대점,0,1,0,0,0,0,0
은행골-홍대역점,0,1,0,0,0,0,0
육회왕자&연어공주,0,1,0,0,0,0,0
엄마네집밥도시락-마포점,0,1,0,0,0,0,0
회대장산지직송숙성활어전문점,0,1,0,0,0,0,0
오봉도시락-상암점,0,1,0,0,0,0,1
골목대장-본점,0,1,0,0,0,0,0
전상국의30년물회,0,1,0,0,0,0,1
타코야끼in문어-서대문구점,0,1,0,0,0,0,0
남바완돈카츠-신촌점,0,1,0,0,0,0,0
세꼬시곳간,0,1,0,0,0,0,0
노량진수산시장삼천포수산,0,1,0,0,0,0,0
감성카츠,0,1,0,0,0,0,0
초밥에미친남자-홍대점,0,1,0,0,0,0,1
힐링스시-본점,0,1,0,0,0,0,1
노량진수산시장순천만상회,0,1,0,0,0,0,0
산이네회무침,0,1,0,0,0,0,0
건강한이불덮밥&장어규동,0,1,0,0,0,0,1
김기엽초밥좋은날-홍대점,0,1,0,0,0,0,0
스시노칸도-홍대점,0,1,0,0,0,0,0
참치의신,0,1,0,0,0,0,0
사우나멘동-상암점,0,1,0,0,0,0,0
신촌돈부리모노-본점,0,1,0,0,0,0,0
국제수산-노량진점,0,1,0,0,0,0,0
마제하루마제소바전문점,0,1,0,0,0,0,0
돈까스하우스-망원점,0,1,0,0,0,0,0
스케브루,0,1,0,0,0,0,0
소문난간이횟집,0,1,0,0,0,0,0
한옥집김치찜-망원점,0,1,0,0,0,0,0
노량진수산시장-여수153수산,0,1,0,0,0,0,0
고유식탁수제함박,0,1,0,0,0,1,0
망원동활어회,0,1,0,0,0,0,1
무국적식탁-홍대점,0,1,0,0,0,0,0
홍대미남보쌈족발-서교점,0,0,1,0,0,0,0
연남족발1987,0,0,1,0,0,0,0
멜브라운-마포점,0,0,1,0,0,0,0
홍대자연보쌈세트,0,0,1,0,1,0,0
가장맛있는족발-상암디지털역점,0,0,1,0,0,0,0
1인할매보쌈족발-월곡점,0,0,1,0,0,0,0
백정&황가네곱창,0,0,1,0,0,0,0
호세야오리바베큐-응암점,0,0,1,0,0,0,0
제주에서온족발-상암점,0,0,1,0,0,0,0
원할머니보쌈-홍대역점,0,0,1,0,0,0,0
대족장,0,0,1,0,0,0,0
호세야오리바베큐-은평점,0,0,1,0,0,0,0
진미오향왕족발,0,0,1,0,0,0,0
형제야식,0,0,1,0,0,0,0
족발야시장-신촌점,0,0,1,0,0,0,0
대만족-합정역점,0,0,1,0,0,0,0
더정원보쌈족발,0,0,1,0,0,0,0
무월식탁-홍대점,0,0,1,0,0,0,1
떡볶이주는이공족발,0,0,1,0,0,0,0
대한족발보쌈-합정본점,0,0,1,0,0,0,0
굴마을낙지촌-마포구청점,0,0,1,0,0,0,0
미스터보쌈족발-망원점,0,0,1,0,0,0,0
잭아저씨족발앤보쌈-홍대점,0,0,1,0,0,0,0
망원꽃돼지-망원본점,0,0,1,0,0,0,0
족발전문고려왕족발,0,0,1,0,0,0,0
누들보쌈배달만족-홍대점,0,0,1,0,0,0,0
양파족발,0,0,1,0,0,0,0
하늘호수보쌈족발-합정망원점,0,0,1,0,0,0,0
호세야오리바베큐-합정점,0,0,1,0,0,0,0
원할머니보쌈-망원점,0,0,1,0,0,0,0
구름산추어탕&연잎보쌈-상암점,0,0,1,0,0,0,1
싸움의고수-홍대입구역점,0,0,1,0,0,0,1
매일삶는족발-서교점,0,0,1,0,0,0,0
원할머니보쌈-상암배달점,0,0,1,0,0,0,0
신룽푸마라탕&꿔바로우-상암점,0,0,0,1,0,1,0
용심마라탕&마라치킨,0,0,0,1,1,0,0
탄탄면공방-홍대본점,0,0,0,1,0,0,1
란콰이진,0,0,0,1,0,0,1
하오하오-마포점,0,0,0,1,0,0,0
안동장,0,0,0,1,0,0,0
천년각-마포점,0,0,0,1,0,0,0
5959양꼬치&마라탕,0,0,0,1,0,0,0
24시 진짜루,0,0,0,1,0,0,0
충칭호모두마라탕&마라샹궈,0,0,0,1,0,0,0
도원.,0,0,0,1,0,0,0
대성식당-합정점,0,0,0,1,0,0,1
왕장,0,0,0,1,0,0,0
소림마라탕-마포점,0,0,0,1,0,0,0
향미각,0,0,0,1,0,0,0
라향각마라탕-서교점,0,0,0,1,0,0,0
안심찹쌀로탕쓱잘튀기는집-망원점,0,0,0,1,0,0,0
탕화쿵푸마라탕-홍대입구7호점,0,0,0,1,0,0,0
신선마라탕-홍대점,0,0,0,1,0,0,0
1인용마라탕-서울수색점,0,0,0,1,0,0,0
리얼안심&찹쌀탕수육-홍대점,0,0,0,1,0,0,0
타이완웨이,0,0,0,1,0,0,0
홍리마라탕,0,0,0,1,0,0,0
반이학생마라탕마라반-홍대점,0,0,0,1,0,0,0
하얼빈덮밥,0,0,0,1,0,0,1
손오공마라탕-서교점,0,0,0,1,0,0,0
설경-마포점,0,0,0,1,0,0,0
신룽푸마라탕-상암점,0,0,0,1,0,0,0
마포마라탕-상암점,0,0,0,1,0,0,0
동평원(합정동),0,0,0,1,0,0,0
청운24시,0,0,0,1,0,0,0
차이니즈정원각,0,0,0,1,0,0,0
백년당마라탕,0,0,0,1,0,0,0
하이디라오-홍대지점,0,0,0,1,0,0,0
서두산딤섬만두-홍대점,0,0,0,1,0,0,0
라사천마라탕-은평점,0,0,0,1,0,0,0
콰이찬-홍대점,0,0,0,1,0,0,0
호탕마라탕,0,0,0,1,0,0,0
홍콩반점-합정점,0,0,0,1,0,0,0
천리향양꼬치-연남점,0,0,0,1,0,0,1
신룽푸마라탕&마라룽샤-상암점,0,0,0,1,0,0,0
라사천마라탕-동교점,0,0,0,1,0,0,0
마야콩짜장,0,0,0,1,0,0,0
길상식당,0,0,0,1,0,0,0
짜짜루-북가좌점,0,0,0,1,0,0,0
짬뽕선생,0,0,0,1,0,0,0
마라하오-신촌점,0,0,0,1,0,1,0
식공간-연남점,0,0,0,1,0,0,0
라사천마라탕-남가좌점,0,0,0,1,0,0,0
미향각,0,0,0,1,0,0,0
신룽푸마라탕&마라샹궈-상암점,0,0,0,1,0,0,0
탕스타임퓨전탕수육전문,0,0,0,1,0,0,1
니뽕내뽕-홍대점,0,0,0,1,0,0,0
브라더탕수-은평점,0,0,0,1,0,0,0
연천홍,0,0,0,1,0,0,0
삼원사천요리전문점,0,0,0,1,0,0,0
혜화동짬뽕극장-서울성산점,0,0,0,1,0,0,0
딘딘향마라탕-망원역점,0,0,0,1,0,0,0
탕수육주는육군짬뽕-당산점,0,0,0,1,0,0,0
용무있습니까-상암점,0,0,0,1,0,0,0
탕수육주는신의짬뽕,0,0,0,1,0,0,0
꼬치꼬치양꼬치,0,0,0,1,0,0,0
신화루,0,0,0,1,0,0,0
신룽푸마라탕&깐풍새우-상암점,0,0,0,1,0,1,0
마이마이치킨-홍대합정점,0,0,0,0,1,0,0
굽네치킨&피자-망원1동점,0,0,0,0,1,1,0
순살몬스터-신수마을점,0,0,0,0,1,0,0
청년치킨-서교점,0,0,0,0,1,0,0
60계-망원점,0,0,0,0,1,0,0
행복한찜닭-이대본점,0,0,0,0,1,0,0
롯데리아-망원점,0,0,0,0,1,0,0
썬더치킨-망원점,0,0,0,0,1,0,0
순살이맛있는디디치킨-연세대점,0,0,0,0,1,0,0
지코바치킨-홍대점,0,0,0,0,1,0,0
푸라닭-신수점,0,0,0,0,1,0,0
지코바치킨-서울성산1호점,0,0,0,0,1,0,0
명품임실치즈피자-신촌점,0,0,0,0,1,1,0
푸라닭-망원점,0,0,0,0,1,0,0
네네치킨-서교점,0,0,0,0,1,0,0
처갓집양념치킨-신촌점,0,0,0,0,1,0,0
동근이숯불두마리치킨-망원점,0,0,0,0,1,0,0
페리카나-합정동점,0,0,0,0,1,0,0
바른치킨-가재울뉴타운점,0,0,0,0,1,0,0
로타리치킨홍대상회,0,0,0,0,1,0,0
자담치킨-서울홍대점,0,0,0,0,1,0,0
림스치킨,0,0,0,0,1,0,0
곱깨비찜닭-서교점,0,0,0,0,1,0,1
티바두마리치킨-망원점,0,0,0,0,1,0,0
박리아닭강정-본점,0,0,0,0,1,0,0
대왕통닭-상암점,0,0,0,0,1,0,0
치킹맨,0,0,0,0,1,0,0
티바두마리치킨-신수서강대점,0,0,0,0,1,0,0
명품임실치즈피자-마포점,0,0,0,0,1,0,0
굽네치킨&피자-연남점,0,0,0,0,1,1,0
가마치통닭-서울망원역점,0,0,0,0,1,0,0
누구나홀딱반한닭-망원역점,0,0,0,0,1,0,0
치킨더홈-서울이대점,0,0,0,0,1,0,0
치킨뱅이-홍대점,0,0,0,0,1,0,0
굽네치킨&피자-서교점,0,0,0,0,1,0,0
밥스바비핫도그&버거,0,0,0,0,1,1,0
곱깨비직화불닭치킨-홍대입구점,0,0,0,0,1,0,1
노랑통닭-망원점,0,0,0,0,1,0,0
뉴욕비치킨플래터,0,0,0,0,1,0,0
파스타어때-마포신촌본점,0,0,0,0,1,0,0
치킨플러스-서교점,0,0,0,0,1,0,0
청춘국물닭발-홍대점,0,0,0,0,1,0,0
굽네치킨&피자-성산2동점,0,0,0,0,1,1,0
수퍼바이츠-신촌점,0,0,0,0,1,0,0
네네치킨-망원점,0,0,0,0,1,0,0
멕시칸치킨-연남점,0,0,0,0,1,0,0
지코바치킨-상암점,0,0,0,0,1,0,0
상수동치맥,0,0,0,0,1,0,0
아라치-홍대점,0,0,0,0,1,0,0
피자는치즈빨-연희점,0,0,0,0,1,1,0
컬투치킨-합정사랑점,0,0,0,0,1,1,0
퀴즈노스-가재울점,0,0,0,0,1,1,0
피자J,0,0,0,0,1,0,0
멕시카나-망원서교점,0,0,0,0,1,0,0
살로만치킨-연남점,0,0,0,0,1,0,0
KFC-홍익대점(심야),0,0,0,0,1,0,0
자담치킨-서울망원점,0,0,0,0,1,0,0
후라이드참잘하는집-마포점,0,0,0,0,1,0,0
KFC-홍익대점,0,0,0,0,1,0,0
컬투치킨-연남사랑점,0,0,0,0,1,0,0
전국3대치킨오성통닭-마포신촌점,0,0,0,0,1,0,0
숯미남숯불치킨에미친남자,0,0,0,0,1,0,1
처갓집양념치킨-홍대점,0,0,0,0,1,0,0
곱깨비직화삼겹-가좌점,0,0,0,0,1,0,0
닥엔돈스치킨-마포성산점,0,0,0,0,1,0,0
교촌치킨-망원2동점,0,0,0,0,1,0,0
더블플레이치킨-홍대점,0,0,0,0,1,0,0
치요남치킨-마포1호점,0,0,0,0,1,0,0
푸라닭-합정점,0,0,0,0,1,0,0
피자이탈리-상암가좌점,0,0,0,0,1,0,0
처갓집양념치킨-상암점,0,0,0,0,1,0,0
가마로강정-망원점,0,0,0,0,1,0,0
치킨플러스-신수점,0,0,0,0,1,0,0
피자피오,0,0,0,0,1,1,0
신미경홍대닭갈비3,0,0,0,0,1,0,1
곱깨비불맛오돌뼈-동교점,0,0,0,0,1,0,0
컬투치킨-창전사랑점,0,0,0,0,1,0,0
요녀석파스타&필라프-마포점,0,0,0,0,1,0,1
걸작떡볶이치킨-서울상암점,0,0,0,0,1,0,0
가마로강정-상암점,0,0,0,0,1,0,0
통불통닭-명지대점,0,0,0,0,1,0,1
맘스터치-망원역점,0,0,0,0,1,0,0
페리카나-망원동점,0,0,0,0,1,0,0
BHC-망원점,0,0,0,0,1,0,0
가마로강정-광흥창점,0,0,0,0,1,0,0
롯데리아-홈플러스합정점,0,0,0,0,1,0,0
또리치킨,0,0,0,0,1,0,0
치킨플러스-성산점,0,0,0,0,1,0,0
나들목치킨,0,0,0,0,1,0,0
마깐마포깐풍기-신촌본점,0,0,0,0,1,0,0
멕시카나-홍대점,0,0,0,0,1,0,0
레트로켄터키,0,0,0,0,1,0,0
굽네치킨&피자-북가좌1호점,0,0,0,0,1,1,0
처갓집양념치킨-서교점,0,0,0,0,1,0,0
베이직프라이드치킨-망원직영점,0,0,0,0,1,0,0
한걸음치킨불닭발,0,0,0,0,1,0,1
순살만공격-상암가좌점,0,0,0,0,1,0,0
로그인,0,0,0,0,1,0,0
신미불닭발-서울본점,0,0,0,0,1,0,0
곱깨비-연남본점,0,0,0,0,1,0,1
푸라닭-상암점,0,0,0,0,1,0,0
지코바치킨-남가좌점,0,0,0,0,1,0,0
치킨매니아-망원점,0,0,0,0,1,0,0
수준이다른치킨-마포신촌점,0,0,0,0,1,0,0
또래오래-마포망원점,0,0,0,0,1,0,0
BHC-합정역점,0,0,0,0,1,0,0
맥소이(MAGSOY),0,0,0,0,1,0,0
피자나라치킨공주-신촌점,0,0,0,0,1,1,0
치킨매니아-상수역점,0,0,0,0,1,0,0
BBQ-망원점,0,0,0,0,1,0,0
돈치킨-성산가좌점,0,0,0,0,1,0,0
호식이두마리치킨-망원점,0,0,0,0,1,0,0
호식이두마리치킨-성산1호점,0,0,0,0,1,0,0
푸라닭-연희점,0,0,0,0,1,0,0
순살만공격-마포신촌점,0,0,0,0,1,0,0
꽃게나라 간장게장,0,0,0,0,0,1,1
키싸-디저트&눈꽃빙수,0,0,0,0,0,1,0
미스터피자-상암점,0,0,0,0,0,1,0
쿠파스테이크,0,0,0,0,0,1,0
프랭크버거-광흥창점,0,0,0,0,0,1,0
10평파스타&화덕피자,0,0,0,0,0,1,0
파스토보이-마포점,0,0,0,0,0,1,0
네이버후드미국식수제피자,0,0,0,0,0,1,0
NAPALPIZZA&WINE,0,0,0,0,0,1,0
버거라이브,0,0,0,0,0,1,0
피자파는집-홍대점,0,0,0,0,0,1,0
명품임실치즈피자-이대점,0,0,0,0,0,1,0
프레드피자-마포구청점,0,0,0,0,0,1,0
믹스앤매치피자-홍대연남본점,0,0,0,0,0,1,0
돈피자-성산가좌점,0,0,0,0,0,1,0
남자피자&스파게티,0,0,0,0,0,1,0
마냐나멕시코식당-마포점,0,0,0,0,0,1,0
명품임실치즈피자-홍대점,0,0,0,0,0,1,0
풀스트릿,0,0,0,0,0,1,0
피굽남피자-연남점,0,0,0,0,0,1,0
허니빙스&호두사랑,0,0,0,0,0,1,0
서가앤쿡-합정점,0,0,0,0,0,1,0
7번가피자-서교망원점,0,0,0,0,0,1,0
고릴라요정,0,0,0,0,0,1,0
도로시파스타연정-홍대점,0,0,0,0,0,1,0
더플레이스-합정역점,0,0,0,0,0,1,0
"더키친아시아.인도커리,인도요리,인도음식",0,0,0,0,0,1,1
식스티즈버거,0,0,0,0,0,1,0
남자피자-영등포점,0,0,0,0,0,1,0
타이반쩜,0,0,0,0,0,1,0
