,분식,일식&돈까스,족발&보쌈,중국집,치킨,피자&양식,한식
삼포가는길-영등포점,0,0,0,0,0,0,1
족보잇는국밥&밀면-홍대직영점,0,0,0,0,0,0,1
백종원의한신포차-홍대점,0,0,0,0,0,0,1
초월양곱창,0,0,0,0,0,0,1
꽃마름-가좌역점,0,0,0,0,0,0,1
쫄면주는삼겹본능by놀부-상암점,0,0,0,0,0,0,1
부성감자탕,0,0,0,0,0,0,1
희야네반찬,0,0,0,0,0,0,1
한끼한죽-마포구점,0,0,0,0,0,0,1
롱쓰부대찌개-영등포점,0,0,0,0,0,0,1
참칼국수진수제비-마포구점,0,0,0,0,0,0,1
연희옥-연희본점,0,0,0,0,0,0,1
도시락집미미,0,0,0,0,0,0,1
홍콩할매불닭발-당산점,0,0,0,0,0,0,1
땅스부대찌개-망원월드컵시장점,0,0,0,0,0,0,1
옥이네김치찌개와직화삼겹-신촌점,0,0,0,0,0,0,1
이가네간장&양념게장,0,0,0,0,0,0,1
야한곱창-홍대점,0,0,0,0,0,0,1
테트리스찜닭-마포점,0,0,0,0,0,0,1
한끼한상-홍대점,0,0,0,0,0,0,1
JH집밥김치찌개,0,0,0,0,0,0,1
전볶탕,0,0,0,0,0,0,1
오이소순대국,0,0,0,0,0,0,1
혼밥대장-마포직영점,0,0,0,0,0,0,1
청진동해장국&감자탕-신촌점,0,0,0,0,0,0,1
마산할매아구찜앤탕-마포본점,0,0,0,0,0,0,1
뿅가닭갈비-서울홍대점,0,0,0,0,0,0,1
미인닭발-망원점,0,0,0,0,0,0,1
삼촌곱창,0,0,0,0,0,0,1
행복한찜닭-DMC점,0,0,0,0,0,0,1
망원시장우이락모둠전&막걸리,0,0,0,0,0,0,1
배달삼겹88식당,0,0,0,0,0,0,1
갈비마마-응암점,0,0,0,0,0,0,1
가분뼈다귀해장국&김치찜-강북점,0,0,0,0,0,0,1
막걸리총각전처녀,0,0,0,0,0,0,1
더평양,0,0,0,0,0,0,1
돈오락쪽갈비-용강점,0,0,0,0,0,0,1
최고남제육명가-북가좌점,0,0,0,0,0,0,1
아부찌부대찌개-망원점,0,0,0,0,0,0,1
황가네철판곱창전골,0,0,0,0,0,0,1
망원식당,0,0,0,0,0,0,1
백채김치찌개-합정점,0,0,0,0,0,0,1
1인용묵은지김치찜-서울수색점,0,0,0,0,0,0,1
1인기사식당,0,0,0,0,0,0,1
몽마르뜨도시락-본점,0,0,0,0,0,0,1
오마니줌LA갈비찜닭-신촌점,0,0,0,0,0,0,1
육회로-상수점,0,0,0,0,0,0,1
명인갈비-연남본점,0,0,0,0,0,0,1
뿅가곱창-홍대점,0,0,0,0,0,0,1
원할머니명품도시락-홍대역점,0,0,0,0,0,0,1
본죽-홍대점,0,0,0,0,0,0,1
서해안할매게장,0,0,0,0,0,0,1
The진한나주곰탕1인용-홍대점,0,0,0,0,0,0,1
동해물과아구찜-마포점,0,0,0,0,0,0,1
국가대표-서대문점,0,0,0,0,0,0,1
본초야채곱창-2호점,0,0,0,0,0,0,1
우리집밥상-강북,0,0,0,0,0,0,1
보글보글찌개나라-마포점,0,0,0,0,0,0,1
한식밥상-홍대점,0,0,0,0,0,0,1
강릉초당골짬뽕순두부-마포점,0,0,0,0,0,0,1
프로육회,0,0,0,0,0,0,1
동궁찜닭-서울서교점,0,0,0,0,0,0,1
백미한식당,0,0,0,0,0,0,1
박용채코다리&삼계탕,0,0,0,0,0,0,1
고기왕창자이언트비빔밥-홍대점,0,0,0,0,0,0,1
한상전통수제갈비찜진품명품-마포신촌점,0,0,0,0,0,0,1
신촌안동찜닭-본점,0,0,0,0,0,0,1
아재부산낙곱새-마포상암점,0,0,0,0,0,0,1
서울찜닭-상암본점,0,0,0,0,0,0,1
이차돌-서울홍대점,0,0,0,0,0,0,1
삼겹펀치-마포본점,0,0,0,0,0,0,1
신촌해물떡찜,0,0,0,0,0,0,1
김된찌브라더스-당산점,0,0,0,0,0,0,1
부가네얼큰이-마포점,0,0,0,0,0,0,1
"김명자당진아구찜,탕그리고코다리조림",0,0,0,0,0,0,1
고봉이네1인분생고기김치찌개,0,0,0,0,0,0,1
망원동수창골,0,0,0,0,0,0,1
럭키갈비찜,0,0,0,0,0,0,1
국선생-상암점,0,0,0,0,0,0,1
왔따쪽갈비-마포점,0,0,0,0,0,0,1
두마리찜닭두찜-홍대입구역점,0,0,0,0,0,0,1
김충기꽃삼겹-마포점,0,0,0,0,0,0,1
1인한솥명가갈비찜-월곡점,0,0,0,0,0,0,1
명태요리전문점김명태-서교점,0,0,0,0,0,0,1
1인살로만강명수아구찜앤탕-마포본점,0,0,0,0,0,0,1
본죽-성산점,0,0,0,0,0,0,1
할매네칡냉면&메밀막국수,0,0,0,0,0,0,1
미스터도시락-망원점,0,0,0,0,0,0,1
홍대화신매운갈비찜,0,0,0,0,0,0,1
이베리코민족,0,0,0,0,0,0,1
디디찜엔닭-연세대점,0,0,0,0,0,0,1
폭풍토핑피자스톰-서대문점,0,0,0,0,0,0,1
강명수묵은지김치찜-마포본점,0,0,0,0,0,0,1
홍스쭈꾸미-홍대본점,0,0,0,0,0,0,1
곱분이곱창-응암DMC점,0,0,0,0,0,0,1
놀부부대찌개-상암1호점,0,0,0,0,0,0,1
열정국밥-서울마포창전동점,0,0,0,0,0,0,1
한남불닭,0,0,0,0,0,0,1
큰맘할매순대국-홍대점,0,0,0,0,0,0,1
"상수,곱도리탕",0,0,0,0,0,0,1
베트남쌀국수퍼사이공-신촌점,0,0,0,0,0,0,1
종로계림닭도리탕원조-상암점,0,0,0,0,0,0,1
